id,Geographic Area Name,Household median income
0500000US13027,"Brooks County, Georgia",37516
0500000US13029,"Bryan County, Georgia",76121
0500000US13031,"Bulloch County, Georgia",48786
0500000US13033,"Burke County, Georgia",45699
0500000US13035,"Butts County, Georgia",48282
0500000US13037,"Calhoun County, Georgia",41962
0500000US13039,"Camden County, Georgia",60594
0500000US13043,"Candler County, Georgia",36955
0500000US13045,"Carroll County, Georgia",59197
0500000US13047,"Catoosa County, Georgia",58932
0500000US13049,"Charlton County, Georgia",42743
0500000US13051,"Chatham County, Georgia",57739
0500000US13053,"Chattahoochee County, Georgia",45700
0500000US13055,"Chattooga County, Georgia",37351
0500000US13057,"Cherokee County, Georgia",84817
0500000US13059,"Clarke County, Georgia",40363
0500000US13061,"Clay County, Georgia",32434
0500000US13063,"Clayton County, Georgia",49460
0500000US13065,"Clinch County, Georgia",38844
0500000US13067,"Cobb County, Georgia",80830
0500000US13069,"Coffee County, Georgia",42526
0500000US13071,"Colquitt County, Georgia",36799
0500000US13073,"Columbia County, Georgia",82251
0500000US13075,"Cook County, Georgia",40943
0500000US13077,"Coweta County, Georgia",79795
0500000US13079,"Crawford County, Georgia",47917
0500000US13081,"Crisp County, Georgia",38272
0500000US13083,"Dade County, Georgia",40384
0500000US13085,"Dawson County, Georgia",72260
0500000US13087,"Decatur County, Georgia",40567
0500000US13089,"DeKalb County, Georgia",65116
0500000US13091,"Dodge County, Georgia",42211
0500000US13093,"Dooly County, Georgia",48039
0500000US13095,"Dougherty County, Georgia",40947
0500000US13097,"Douglas County, Georgia",67651
0500000US13099,"Early County, Georgia",34811
0500000US13101,"Echols County, Georgia",44454
0500000US13103,"Effingham County, Georgia",67050
0500000US13105,"Elbert County, Georgia",39323
0500000US13107,"Emanuel County, Georgia",38423
0500000US13109,"Evans County, Georgia",46392
0500000US13111,"Fannin County, Georgia",46028
0500000US13113,"Fayette County, Georgia",93777
0500000US13115,"Floyd County, Georgia",50657
0500000US13117,"Forsyth County, Georgia",112834
0500000US13119,"Franklin County, Georgia",47821
0500000US13121,"Fulton County, Georgia",72741
0500000US13123,"Gilmer County, Georgia",57376
0500000US13125,"Glascock County, Georgia",46500
0500000US13127,"Glynn County, Georgia",56952
0500000US13129,"Gordon County, Georgia",48662
0500000US13131,"Grady County, Georgia",48047
0500000US13133,"Greene County, Georgia",57880
0500000US13135,"Gwinnett County, Georgia",72787
0500000US13137,"Habersham County, Georgia",54147
0500000US13139,"Hall County, Georgia",63651
0500000US13141,"Hancock County, Georgia",32914
0500000US13143,"Haralson County, Georgia",52021
0500000US13145,"Harris County, Georgia",79860
0500000US13147,"Hart County, Georgia",45874
0500000US13149,"Heard County, Georgia",50583
0500000US13151,"Henry County, Georgia",71110
0500000US13153,"Houston County, Georgia",65870
0500000US13155,"Irwin County, Georgia",41484
0500000US13157,"Jackson County, Georgia",68307
0500000US13159,"Jasper County, Georgia",52409
0500000US13161,"Jeff Davis County, Georgia",36987
0500000US13163,"Jefferson County, Georgia",37009
0500000US13165,"Jenkins County, Georgia",25712
0500000US13167,"Johnson County, Georgia",42421
0500000US13169,"Jones County, Georgia",63046
0500000US13171,"Lamar County, Georgia",50088
0500000US13173,"Lanier County, Georgia",32158
0500000US13175,"Laurens County, Georgia",39476
0500000US13177,"Lee County, Georgia",68338
0500000US13179,"Liberty County, Georgia",50411
0500000US13181,"Lincoln County, Georgia",42036
0500000US13183,"Long County, Georgia",52099
0500000US13185,"Lowndes County, Georgia",46113
0500000US13187,"Lumpkin County, Georgia",52872
0500000US13189,"McDuffie County, Georgia",47327
0500000US13191,"McIntosh County, Georgia",56262
0500000US13193,"Macon County, Georgia",31910
0500000US13195,"Madison County, Georgia",51142
0500000US13197,"Marion County, Georgia",52450
0500000US13199,"Meriwether County, Georgia",40769
0500000US13201,"Miller County, Georgia",49771
0500000US13205,"Mitchell County, Georgia",39404
0500000US13207,"Monroe County, Georgia",60491
0500000US13209,"Montgomery County, Georgia",45230
0500000US13211,"Morgan County, Georgia",68669
0500000US13213,"Murray County, Georgia",51133
0500000US13215,"Muscogee County, Georgia",47418
0500000US13217,"Newton County, Georgia",59178
0500000US13219,"Oconee County, Georgia",95064
0500000US13221,"Oglethorpe County, Georgia",52816
0500000US13223,"Paulding County, Georgia",74154
0500000US13225,"Peach County, Georgia",50267
0500000US13227,"Pickens County, Georgia",68365
0500000US13229,"Pierce County, Georgia",48969
0500000US13231,"Pike County, Georgia",68138
0500000US13233,"Polk County, Georgia",46846
0500000US13235,"Pulaski County, Georgia",42213
0500000US13237,"Putnam County, Georgia",52910
0500000US13239,"Quitman County, Georgia",34394
0500000US13241,"Rabun County, Georgia",44871
0500000US13243,"Randolph County, Georgia",29400
0500000US13245,"Richmond County, Georgia",43882
0500000US13247,"Rockdale County, Georgia",62505
0500000US13249,"Schley County, Georgia",49105
0500000US13251,"Screven County, Georgia",39852
0500000US13253,"Seminole County, Georgia",35286
0500000US13255,"Spalding County, Georgia",48970
0500000US13257,"Stephens County, Georgia",46766
0500000US13259,"Stewart County, Georgia",34028
0500000US13261,"Sumter County, Georgia",37174
0500000US13263,"Talbot County, Georgia",40020
0500000US13265,"Taliaferro County, Georgia",37717
0500000US13267,"Tattnall County, Georgia",44053
0500000US13269,"Taylor County, Georgia",28550
0500000US13271,"Telfair County, Georgia",32764
0500000US13273,"Terrell County, Georgia",35335
0500000US13275,"Thomas County, Georgia",47133
0500000US13277,"Tift County, Georgia",44827
0500000US13279,"Toombs County, Georgia",41244
0500000US13281,"Towns County, Georgia",51257
0500000US13283,"Treutlen County, Georgia",32072
0500000US13285,"Troup County, Georgia",46796
0500000US13287,"Turner County, Georgia",34514
0500000US13289,"Twiggs County, Georgia",43477
0500000US13291,"Union County, Georgia",49703
0500000US13293,"Upson County, Georgia",39221
0500000US13295,"Walker County, Georgia",46601
0500000US13297,"Walton County, Georgia",65491
0500000US13299,"Ware County, Georgia",37041
0500000US13301,"Warren County, Georgia",38250
0500000US13303,"Washington County, Georgia",36402
0500000US13305,"Wayne County, Georgia",45773
0500000US13307,"Webster County, Georgia",31629
0500000US13309,"Wheeler County, Georgia",28864
0500000US13311,"White County, Georgia",55788
0500000US13313,"Whitfield County, Georgia",50055
0500000US13315,"Wilcox County, Georgia",39216
0500000US13317,"Wilkes County, Georgia",36486
0500000US13319,"Wilkinson County, Georgia",36896
0500000US13321,"Worth County, Georgia",50913
0500000US15001,"Hawaii County, Hawaii",65401
0500000US15003,"Honolulu County, Hawaii",87722
0500000US15005,"Kalawao County, Hawaii",76465
0500000US15007,"Kauai County, Hawaii",82818
0500000US15009,"Maui County, Hawaii",84363
0500000US16001,"Ada County, Idaho",69952
0500000US16003,"Adams County, Idaho",50309
0500000US16005,"Bannock County, Idaho",51977
0500000US16007,"Bear Lake County, Idaho",52829
0500000US16009,"Benewah County, Idaho",47983
0500000US16011,"Bingham County, Idaho",58260
0500000US16013,"Blaine County, Idaho",64627
0500000US16015,"Boise County, Idaho",51760
0500000US16017,"Bonner County, Idaho",51594
0500000US16019,"Bonneville County, Idaho",61435
0500000US16021,"Boundary County, Idaho",45319
0500000US16023,"Butte County, Idaho",37404
0500000US16025,"Camas County, Idaho",36908
0500000US16027,"Canyon County, Idaho",56916
0500000US16029,"Caribou County, Idaho",58099
0500000US16031,"Cassia County, Idaho",52256
0500000US16033,"Clark County, Idaho",36429
0500000US16035,"Clearwater County, Idaho",42413
0500000US16037,"Custer County, Idaho",44757
0500000US16039,"Elmore County, Idaho",45656
0500000US16041,"Franklin County, Idaho",59934
0500000US16043,"Fremont County, Idaho",56825
0500000US16045,"Gem County, Idaho",53720
0500000US16047,"Gooding County, Idaho",50057
0500000US16049,"Idaho County, Idaho",44951
0500000US16051,"Jefferson County, Idaho",65577
0500000US16053,"Jerome County, Idaho",55521
0500000US16055,"Kootenai County, Idaho",60903
0500000US16057,"Latah County, Idaho",51312
0500000US16059,"Lemhi County, Idaho",38819
0500000US16061,"Lewis County, Idaho",42370
0500000US16063,"Lincoln County, Idaho",52363
0500000US16065,"Madison County, Idaho",44419
0500000US16067,"Minidoka County, Idaho",53011
0500000US16069,"Nez Perce County, Idaho",57099
0500000US16071,"Oneida County, Idaho",54484
0500000US16073,"Owyhee County, Idaho",48601
0500000US16075,"Payette County, Idaho",52788
0500000US16077,"Power County, Idaho",51014
0500000US16079,"Shoshone County, Idaho",40483
0500000US16081,"Teton County, Idaho",73274
0500000US16083,"Twin Falls County, Idaho",53363
0500000US16085,"Valley County, Idaho",63115
0500000US16087,"Washington County, Idaho",42126
0500000US17001,"Adams County, Illinois",55052
0500000US17003,"Alexander County, Illinois",34709
0500000US17005,"Bond County, Illinois",53568
0500000US17007,"Boone County, Illinois",70396
0500000US17009,"Brown County, Illinois",60694
0500000US17011,"Bureau County, Illinois",55549
0500000US17013,"Calhoun County, Illinois",66602
0500000US17015,"Carroll County, Illinois",52813
0500000US17017,"Cass County, Illinois",53899
0500000US17019,"Champaign County, Illinois",53936
0500000US17021,"Christian County, Illinois",52120
0500000US17023,"Clark County, Illinois",59481
0500000US17025,"Clay County, Illinois",52167
0500000US17027,"Clinton County, Illinois",67179
0500000US17029,"Coles County, Illinois",46411
0500000US17031,"Cook County, Illinois",67886
0500000US17033,"Crawford County, Illinois",50968
0500000US17035,"Cumberland County, Illinois",59271
0500000US17037,"DeKalb County, Illinois",62353
0500000US17039,"De Witt County, Illinois",57727
0500000US17041,"Douglas County, Illinois",59620
0500000US17043,"DuPage County, Illinois",94930
0500000US17045,"Edgar County, Illinois",48543
0500000US17047,"Edwards County, Illinois",53801
0500000US17049,"Effingham County, Illinois",59932
0500000US17051,"Fayette County, Illinois",45634
0500000US17053,"Ford County, Illinois",50582
0500000US17055,"Franklin County, Illinois",43671
0500000US17057,"Fulton County, Illinois",52243
0500000US17059,"Gallatin County, Illinois",43092
0500000US17061,"Greene County, Illinois",51746
0500000US17063,"Grundy County, Illinois",75767
0500000US17065,"Hamilton County, Illinois",55977
0500000US17067,"Hancock County, Illinois",55818
0500000US17069,"Hardin County, Illinois",50847
